customer_id,customer_name,email,city,state,join_date
62,Courtney Mills,tkerr@example.net,Torreston,South Carolina,2024-01-05 00:00:00.000000
63,Christine Clark,mooreglenn@example.org,North Ricky,Vermont,2026-02-11 00:00:00.000000
64,Andrew Roberts,jacqueline71@example.net,West Kristin,South Dakota,2026-02-05 00:00:00.000000
65,Taylor Coleman,deborahkerr@example.org,North Gabrielport,Rhode Island,2026-01-04 00:00:00.000000
66,Jessica Harrison,holly48@example.net,Kimton,Nevada,2024-12-16 00:00:00.000000
67,Allison Perez,keyemily@example.com,Port Katelynfort,North Dakota,2026-05-12 00:00:00.000000
68,Donald Shea,fwalters@example.org,Baileymouth,Massachusetts,2026-06-10 00:00:00.000000
69,Christopher Jenkins,zroberts@example.net,South Christopherview,Massachusetts,2024-01-31 00:00:00.000000
70,Jennifer Robertson,sandovalamy@example.com,East Aprilfort,South Dakota,2025-06-20 00:00:00.000000
71,Christina Dunn,samuel71@example.org,Lake Eric,Oklahoma,2023-08-25 00:00:00.000000
72,Anna Gay,murraydavid@example.org,Cantuport,North Carolina,2026-08-03 00:00:00.000000
73,Ruben Baird,stephenthomas@example.org,Port Chad,Wyoming,2025-05-09 00:00:00.000000
74,Richard Adams,campbellkenneth@example.net,Grimesmouth,Ohio,2025-08-25 00:00:00.000000
75,Juan Daniels,mcantu@example.net,New Patrick,Wyoming,2025-05-03 00:00:00.000000
76,Patrick Thornton,qhughes@example.net,South Tammie,Florida,2025-09-22 00:00:00.000000
77,Evelyn Garcia,dgarcia@example.org,South Monica,Georgia,2023-11-28 00:00:00.000000
78,Wayne Morgan,vsantos@example.net,Finleyfort,Ohio,2023-09-28 00:00:00.000000
79,Cynthia Cohen,wendy16@example.org,South Garrettport,Alaska,2023-10-14 00:00:00.000000
80,Anthony Howard,hthomas@example.com,East Gregory,South Carolina,2025-03-20 00:00:00.000000
81,Cynthia Durham,jesselittle@example.com,Elizabethmouth,Maine,2026-06-21 00:00:00.000000
82,Angela Landry,danielle64@example.com,Jamesfurt,New Mexico,2024-01-16 00:00:00.000000
83,Kenneth Andrews,andrew64@example.org,New Julieport,Wyoming,2024-07-26 00:00:00.000000
84,Heather Fields,erica21@example.net,West Kristinaton,Pennsylvania,2025-02-20 00:00:00.000000
85,Ann Phillips,ithompson@example.net,Alyssaview,Hawaii,2024-09-06 00:00:00.000000
86,Terry Coffey,julie51@example.com,East Karenbury,Utah,2026-06-16 00:00:00.000000
87,Tracy Ballard,christopher60@example.com,South Miguelview,Pennsylvania,2025-03-17 00:00:00.000000
88,Teresa Rodriguez,thomasharvey@example.net,Rosebury,Tennessee,2023-11-10 00:00:00.000000
89,Julie Haynes,cwilson@example.org,Wendyville,Connecticut,2024-08-02 00:00:00.000000
90,Brandy Chavez,umatthews@example.org,Penafort,South Carolina,2025-04-28 00:00:00.000000
91,Diana Vaughn,scottsampson@example.com,Lake Michaelstad,Arkansas,2025-04-13 00:00:00.000000
92,Walter Rush,ndavis@example.net,North Kristinbury,Florida,2025-12-28 00:00:00.000000
93,Ronald Spencer,lisahall@example.org,West Micheleberg,Florida,2025-11-20 00:00:00.000000
94,Christopher Guerrero,andersonmichael@example.org,Alfredview,Arkansas,2024-02-16 00:00:00.000000
95,Kelly Reese,xwest@example.net,South Williamton,Washington,2026-05-23 00:00:00.000000
96,Judith Maynard,lutzmelanie@example.com,South Jennifermouth,California,2023-12-07 00:00:00.000000
97,Charles Martinez,oscar98@example.com,Wagnerchester,Connecticut,2026-07-29 00:00:00.000000
98,Matthew Rich,russellbeasley@example.com,Mariafurt,Nebraska,2023-12-29 00:00:00.000000
99,Erik Scott,gloriawells@example.org,North Ryanstad,Florida,2025-12-15 00:00:00.000000
100,Tyler Hoffman,jenkinsmorgan@example.com,West Carolinestad,Connecticut,2026-01-17 00:00:00.000000
